id,qid1,qid2,question1,question2,is_duplicate
186783,100699,176595,What is the most beautiful moment in your life?,Will there be a war between India and Pakistan?,0
186784,291462,239483,What are the differences between Android and iOS?,What is the future of data science?,0
186785,218026,178079,What is GST and how does it benefit common people?,What is GST and how does it benefit common people?,1
186786,128322,163429,Which is better: Java or Python?,Which is better: Java or Python?,1
186787,183308,262401,What is GST and how does it benefit common people?,What should I do to overcome anxiety?,0
186788,266907,130980,How do you sleep well?,What are the differences between Android and iOS?,0
186789,136300,209911,What is GST and how does it benefit common people?,What's GST and how does it benefit common people?,1
186790,204022,260556,What is GST and how does it benefit common people?,What is GST and how does it benefit common people?,1
186791,126095,220639,What is GST and how does it benefit common people?,What is the most beautiful moment in your life?,0
186792,120201,202802,How do I remove water from ear?,How should I I remove water from ear?,1
186793,114209,127491,How can I motivate myself to achieve more?,How can I motivate myself to achieve more?,1
186794,156052,265702,Is it scientifically possible to bring someone back to life?,What are some good laptops under 60k?,0
186795,159443,123390,How do you sleep well?,How can I motivate myself to achieve more?,0
186796,175025,221648,What should I do to overcome anxiety?,What is GST and how does it benefit common people?,0
186797,110075,166984,How can I motivate myself to achieve more?,How do I motivate myself to achieve more?,1
186798,288944,254279,Is it scientifically possible to bring someone back to life?,What is the future of data science?,0
186799,218896,144902,Which is better: Java or Python?,What should I do to overcome anxiety?,0
186800,178636,256470,What is the future of data science?,What is the future of data science?,1
186801,223387,158115,How can I get venture capital for my startup?,Is it scientifically possible to bring someone back to life?,0
186802,135143,238676,How can I motivate myself to achieve more?,How can I motivate myself to achieve more?,1
186803,141712,289418,What are the best books on modern philosophy?,Which is better: Java or Python?,0
186804,277007,273248,How do you sleep well?,How do you sleep well?,1
186805,105874,279134,What is the future of data science?,What is the future of data science?,1
186806,295325,131716,How can I motivate myself to achieve more?,What are some good laptops under 60k?,0
186807,197925,178562,How do you sleep well?,How do I remove water from ear?,0
186808,168446,214837,How do I remove water from ear?,What should I do to overcome anxiety?,0
186809,280418,206688,What are the differences between Android and iOS?,What is the future of data science?,0
186810,113562,143067,What are the differences between Android and iOS?,What are some the differences between Android and iOS?,1
186811,254143,130960,How can I motivate myself to achieve more?,How can I motivate myself to achieve more?,1
186812,167260,132445,How do I remove water from ear?,How do you sleep well?,0
186813,239849,128285,How can I improve my communication skills?,How can I improve my communication skills?,1
186814,278589,195844,Which is better: Java or Python?,What are the differences between Android and iOS?,0
186815,142692,255570,How do you sleep well?,How do you sleep well?,1
186816,201532,138296,What is the most beautiful moment in your life?,What is the most beautiful moment in your life?,1
186817,245797,269234,What are the differences between Android and iOS?,What are some the differences between Android and iOS?,1
186818,260965,273512,How can I get venture capital for my startup?,How do I get venture capital for my startup?,1
186819,155470,215427,What are some good laptops under 60k?,What are some good laptops under 60k?,1
186820,257238,177458,What is the future of data science?,What is the future of data science?,1
186821,298098,280843,What is the most beautiful moment in your life?,What's the most beautiful moment in your life?,1
186822,204682,107239,What are the best books on modern philosophy?,How do I remove water from ear?,0
186823,152699,128252,How do you sleep well?,What is the most beautiful moment in your life?,0
186824,122251,282523,How can I motivate myself to achieve more?,How can I get venture capital for my startup?,0
186825,132030,287717,What should I do to overcome anxiety?,What are the differences between Android and iOS?,0
186826,254801,246508,What are some good laptops under 60k?,What are some good laptops under 60k?,1
186827,256669,132364,Will there be a war between India and Pakistan?,How can I improve my communication skills?,0
186828,184839,159309,What are the best books on modern philosophy?,What are the best books on modern philosophy?,1
186829,150336,151245,How can I get venture capital for my startup?,What are the differences between Android and iOS?,0
186830,173723,221835,What is the most beautiful moment in your life?,What are the best books on modern philosophy?,0
186831,164740,266478,What is the most beautiful moment in your life?,What is the most beautiful moment in your life?,1
186832,140922,251047,What is GST and how does it benefit common people?,How can I improve my communication skills?,0
186833,178123,248263,How can I get venture capital for my startup?,How do I get venture capital for my startup?,1
186834,141223,292979,How do you sleep well?,How do I remove water from ear?,0
186835,268418,253816,How do I remove water from ear?,How do I remove water from ear?,1
186836,179857,154767,Which is better: Java or Python?,Which is better: Java or Python?,1
186837,231470,236681,What should I do to overcome anxiety?,What should I do to overcome anxiety?,1
186838,159827,147165,Is it scientifically possible to bring someone back to life?,How do you sleep well?,0
186839,288879,248300,How can I get venture capital for my startup?,How can I get venture capital for my startup?,1
186840,248343,188735,How do I remove water from ear?,How can I improve my communication skills?,0
186841,122392,270278,Which is better: Java or Python?,Which is better: Java or Python?,1
186842,201729,261600,Is it scientifically possible to bring someone back to life?,What is the future of data science?,0
186843,182041,141392,What is the future of data science?,How can I get venture capital for my startup?,0
186844,206732,254719,How can I improve my communication skills?,What are some good laptops under 60k?,0
186845,125097,101282,What are some good laptops under 60k?,What are some good laptops under 60k?,1
186846,295963,254478,How can I get venture capital for my startup?,How can I get venture capital for my startup?,1
186847,198491,110234,What are some good laptops under 60k?,What are some good laptops under 60k?,1
186848,280451,297905,What are the differences between Android and iOS?,What is the future of data science?,0
186849,258824,231322,What is GST and how does it benefit common people?,What are the differences between Android and iOS?,0
186850,105200,100350,What should I do to overcome anxiety?,Will there be a war between India and Pakistan?,0
186851,104146,296582,What is GST and how does it benefit common people?,What is GST and how should Ies it benefit common people?,1
186852,283906,184610,What is GST and how does it benefit common people?,What is GST and how does it benefit common people?,1
186853,115793,191863,How can I get venture capital for my startup?,How do I get venture capital for my startup?,1
186854,180241,275592,What is GST and how does it benefit common people?,What is the future of data science?,0
186855,152531,263081,What is GST and how does it benefit common people?,What are the best books on modern philosophy?,0
186856,256250,159571,Which is better: Java or Python?,What should I do to overcome anxiety?,0
186857,252314,257827,How can I improve my communication skills?,What is GST and how does it benefit common people?,0
186858,274482,263710,Is it scientifically possible to bring someone back to life?,How can I motivate myself to achieve more?,0
186859,157500,252743,Is it scientifically possible to bring someone back to life?,Is it scientifically possible to bring someone back to life?,1
186860,262477,229036,What should I do to overcome anxiety?,What should I do to overcome anxiety?,1
186861,116174,207084,What is GST and how does it benefit common people?,What is GST and how should Ies it benefit common people?,1
186862,208469,282376,How do you sleep well?,What is the future of data science?,0
186863,117687,238363,How can I improve my communication skills?,How do you sleep well?,0
186864,137697,141620,What should I do to overcome anxiety?,How do you sleep well?,0
186865,151574,205026,How can I get venture capital for my startup?,Is it scientifically possible to bring someone back to life?,0
186866,218959,276715,How can I get venture capital for my startup?,What are the best books on modern philosophy?,0
186867,294814,266042,Is it scientifically possible to bring someone back to life?,Which is better: Java or Python?,0
186868,129865,258295,Will there be a war between India and Pakistan?,Will there be a war between India and Pakistan?,1
186869,131881,131861,How can I get venture capital for my startup?,How can I get venture capital for my startup?,1
186870,256269,242180,Which is better: Java or Python?,Which is better: Java or Python?,1
186871,108981,222919,How do you sleep well?,How do you sleep well?,1
186872,163455,274767,What should I do to overcome anxiety?,What should I do to overcome anxiety?,1
186873,151383,127461,How do I remove water from ear?,How should I I remove water from ear?,1
186874,250092,297872,How can I get venture capital for my startup?,What are some good laptops under 60k?,0
186875,183018,290201,Is it scientifically possible to bring someone back to life?,How can I improve my communication skills?,0
186876,187894,133490,What is the future of data science?,What is the future of data science?,1
186877,132727,137184,How do I remove water from ear?,Which is better: Java or Python?,0
186878,157236,104703,Is it scientifically possible to bring someone back to life?,What is GST and how does it benefit common people?,0
186879,182186,195869,Is it scientifically possible to bring someone back to life?,What are the differences between Android and iOS?,0
186880,114159,253394,How can I improve my communication skills?,What is the most beautiful moment in your life?,0
186881,175740,167908,What is the future of data science?,What's the future of data science?,1
186882,235343,123749,How can I improve my communication skills?,How can I improve my communication skills?,1
186883,243827,249302,How do I remove water from ear?,Which is better: Java or Python?,0
186884,274338,245342,What is GST and how does it benefit common people?,How do you sleep well?,0
186885,216894,127636,What is GST and how does it benefit common people?,What is GST and how does it benefit common people?,1
186886,149067,153022,How can I get venture capital for my startup?,How can I get venture capital for my startup?,1
186887,127626,221243,How do you sleep well?,What are some good laptops under 60k?,0
186888,174730,204958,How do I remove water from ear?,Is it scientifically possible to bring someone back to life?,0
186889,172815,279415,How do you sleep well?,How do you sleep well?,1
186890,167994,195450,Will there be a war between India and Pakistan?,How do I remove water from ear?,0
186891,289363,164953,What should I do to overcome anxiety?,Will there be a war between India and Pakistan?,0
186892,193426,169486,What should I do to overcome anxiety?,What should I do to overcome anxiety?,1
186893,260332,149210,What are some good laptops under 60k?,What is GST and how does it benefit common people?,0
186894,213865,260215,What is the most beautiful moment in your life?,What's the most beautiful moment in your life?,1
186895,170667,204152,What is the future of data science?,What is the future of data science?,1
186896,167778,185084,What is the future of data science?,How do you sleep well?,0
186897,231630,235625,How can I improve my communication skills?,How can I improve my communication skills?,1
186898,272597,158414,What is GST and how does it benefit common people?,What is GST and how does it benefit common people?,1
186899,188298,252739,What are some good laptops under 60k?,What are some good laptops under 60k?,1
186900,189873,109675,What is GST and how does it benefit common people?,What is GST and how does it benefit common people?,1
186901,185156,287724,What should I do to overcome anxiety?,What should I should I to overcome anxiety?,1
186902,166515,271145,How can I improve my communication skills?,How can I get venture capital for my startup?,0
186903,288128,187231,What are the differences between Android and iOS?,What are the differences between Android and iOS?,1
186904,212759,186834,How do you sleep well?,How do you sleep well?,1
186905,269233,213185,Is it scientifically possible to bring someone back to life?,Is it scientifically possible to bring someone back to life?,1
186906,207936,200016,How can I improve my communication skills?,How can I improve my communication skills?,1
186907,222919,278670,Which is better: Java or Python?,How can I get venture capital for my startup?,0
186908,297049,133199,What is GST and how does it benefit common people?,What's GST and how does it benefit common people?,1
186909,104951,251754,What are the differences between Android and iOS?,What are the differences between Android and iOS?,1
186910,177664,265913,What is GST and how does it benefit common people?,Is it scientifically possible to bring someone back to life?,0
186911,160242,200148,What are the best books on modern philosophy?,What are the best books on modern philosophy?,1
186912,146557,252358,What is the most beautiful moment in your life?,How can I get venture capital for my startup?,0
186913,255857,271541,What should I do to overcome anxiety?,What should I do to overcome anxiety?,1
186914,216936,116228,What are some good laptops under 60k?,What are some good laptops under 60k?,1
186915,159189,133391,What are the best books on modern philosophy?,What are the best books on modern philosophy?,1
186916,104603,159463,What is the most beautiful moment in your life?,How can I motivate myself to achieve more?,0
186917,258376,144056,What are the differences between Android and iOS?,What are the differences between Android and iOS?,1
186918,228003,244963,Will there be a war between India and Pakistan?,Will there be a war between India and Pakistan?,1
186919,239947,124229,What are some good laptops under 60k?,What are some good laptops under 60k?,1
186920,208959,284275,What are the best books on modern philosophy?,Is it scientifically possible to bring someone back to life?,0
186921,115785,275033,What are some good laptops under 60k?,What are some good laptops under 60k?,1
186922,128956,103531,How can I improve my communication skills?,What should I do to overcome anxiety?,0
186923,219805,124138,Is it scientifically possible to bring someone back to life?,Is it really scientifically possible to bring someone back to life?,1
186924,274555,253371,What are some good laptops under 60k?,How do I remove water from ear?,0
186925,260640,123831,What should I do to overcome anxiety?,What should I do to overcome anxiety?,1
186926,119516,275249,How do you sleep well?,How do you sleep well?,1
186927,127584,143391,What are the best books on modern philosophy?,What are the best books on modern philosophy?,1
186928,133670,188466,How do I remove water from ear?,How should I I remove water from ear?,1
186929,240583,129509,How do I remove water from ear?,How do I remove water from ear?,1
186930,147696,282570,Which is better: Java or Python?,How can I get venture capital for my startup?,0
186931,263154,266574,What is the most beautiful moment in your life?,What are some good laptops under 60k?,0
186932,141306,215934,How can I get venture capital for my startup?,How can I improve my communication skills?,0
186933,143832,136493,What are the best books on modern philosophy?,How can I improve my communication skills?,0
186934,120691,216867,What is GST and how does it benefit common people?,What should I do to overcome anxiety?,0
186935,183301,293644,How can I get venture capital for my startup?,What should I do to overcome anxiety?,0
186936,134921,162495,What is the future of data science?,What is the most beautiful moment in your life?,0
186937,266024,146267,How can I motivate myself to achieve more?,How can I get venture capital for my startup?,0
186938,232084,284862,What is the most beautiful moment in your life?,What is the most beautiful moment in your life?,1
186939,262700,214354,What are some good laptops under 60k?,What are the differences between Android and iOS?,0
186940,192226,101075,How can I improve my communication skills?,How can I improve my communication skills?,1
186941,158110,180363,Will there be a war between India and Pakistan?,Will there be a war between India and Pakistan?,1
186942,209433,278472,Is it scientifically possible to bring someone back to life?,What are the best books on modern philosophy?,0
186943,101773,103548,What are the best books on modern philosophy?,What is the most beautiful moment in your life?,0
186944,290898,201408,What is GST and how does it benefit common people?,How can I get venture capital for my startup?,0
186945,169206,147241,How do you sleep well?,How should I you sleep well?,1
186946,178364,203317,How can I motivate myself to achieve more?,Which is better: Java or Python?,0
186947,190401,134983,Will there be a war between India and Pakistan?,Will there be a war between India and Pakistan?,1
186948,220802,236901,How can I get venture capital for my startup?,How can I improve my communication skills?,0
186949,196591,184821,What is the future of data science?,What is GST and how does it benefit common people?,0
186950,277032,186498,What are the differences between Android and iOS?,What is GST and how does it benefit common people?,0
186951,290129,187687,Which is better: Java or Python?,Which is better: Java or Python?,1
186952,277450,168626,What is GST and how does it benefit common people?,How can I motivate myself to achieve more?,0
186953,242041,206139,How do you sleep well?,Is it scientifically possible to bring someone back to life?,0
186954,291813,298014,How can I motivate myself to achieve more?,How can I motivate myself to achieve more?,1
186955,147224,292063,What are the best books on modern philosophy?,What are some good laptops under 60k?,0
186956,157410,195085,Will there be a war between India and Pakistan?,Will there be a war between India and Pakistan?,1
186957,158211,262424,What are the differences between Android and iOS?,What are some good laptops under 60k?,0
186958,126603,248992,Which is better: Java or Python?,Which is better: Java or Python?,1
186959,112571,143630,How do you sleep well?,How do you sleep well?,1
186960,228036,256769,Which is better: Java or Python?,What are some good laptops under 60k?,0
186961,158446,226769,What are some good laptops under 60k?,What are some good laptops under 60k?,1
186962,202575,262050,What are the differences between Android and iOS?,What is GST and how does it benefit common people?,0
186963,206590,281846,What is the most beautiful moment in your life?,What are some good laptops under 60k?,0
186964,254718,294112,How can I improve my communication skills?,How can I improve my communication skills?,1
186965,133439,103528,How can I motivate myself to achieve more?,What are the differences between Android and iOS?,0
186966,125626,136658,What are the best books on modern philosophy?,What are some the best books on modern philosophy?,1
186967,138932,222628,What is GST and how does it benefit common people?,How can I improve my communication skills?,0
186968,166979,299986,What is the most beautiful moment in your life?,What is GST and how does it benefit common people?,0
186969,251965,236211,Will there be a war between India and Pakistan?,How do you sleep well?,0
186970,287972,172334,What are the differences between Android and iOS?,What are the best books on modern philosophy?,0
186971,157636,283123,Will there be a war between India and Pakistan?,What should I do to overcome anxiety?,0
186972,253023,246084,How do you sleep well?,What is the future of data science?,0
186973,117888,203522,How can I motivate myself to achieve more?,Is it scientifically possible to bring someone back to life?,0
186974,150602,193479,What are the differences between Android and iOS?,What are the differences between Android and iOS?,1
186975,293950,278076,What are the best books on modern philosophy?,What are the best books on modern philosophy?,1
186976,194925,163859,Which is better: Java or Python?,Will there be a war between India and Pakistan?,0
186977,265750,192405,What are some good laptops under 60k?,What are some good laptops under 60k?,1
186978,222765,198948,What are some good laptops under 60k?,What are some some good laptops under 60k?,1
186979,216659,148623,How can I improve my communication skills?,What are the differences between Android and iOS?,0
186980,178073,129302,How do I remove water from ear?,How do I remove water from ear?,1
186981,109816,194619,Is it scientifically possible to bring someone back to life?,What is GST and how does it benefit common people?,0
186982,285424,260197,What is the future of data science?,What is the future of data science?,1
186983,271439,184892,How do you sleep well?,How do you sleep well?,1
186984,153028,291551,What is the future of data science?,How can I improve my communication skills?,0
186985,180431,212471,What are the best books on modern philosophy?,What is GST and how does it benefit common people?,0
186986,264152,201016,What are some good laptops under 60k?,What are some good laptops under 60k?,1
186987,278743,219396,What are some good laptops under 60k?,What are some some good laptops under 60k?,1
186988,285528,146395,How can I improve my communication skills?,How can I improve my communication skills?,1
186989,179008,138652,What are some good laptops under 60k?,How do I remove water from ear?,0
186990,243869,225248,What are the best books on modern philosophy?,How do you sleep well?,0
186991,129780,228261,Which is better: Java or Python?,How can I get venture capital for my startup?,0
186992,271475,267446,What are some good laptops under 60k?,How do I remove water from ear?,0
186993,286409,233556,Which is better: Java or Python?,Which is better: Java or Python?,1
186994,239154,140167,How do you sleep well?,How should I you sleep well?,1
186995,256407,267221,What are the differences between Android and iOS?,What is the future of data science?,0
186996,161819,254662,Is it scientifically possible to bring someone back to life?,Is it scientifically possible to bring someone back to life?,1
186997,143992,238526,Is it scientifically possible to bring someone back to life?,What is the most beautiful moment in your life?,0
186998,100058,136157,How can I get venture capital for my startup?,What is the future of data science?,0
186999,183344,104784,What are the differences between Android and iOS?,Will there be a war between India and Pakistan?,0
187000,131820,252943,Is it scientifically possible to bring someone back to life?,Is it scientifically possible to bring someone back to life?,1
187001,224182,113306,What are some good laptops under 60k?,How do you sleep well?,0
187002,162380,243365,What are the differences between Android and iOS?,What is GST and how does it benefit common people?,0
187003,133802,229731,How do I remove water from ear?,How do I remove water from ear?,1
187004,231799,157669,What is GST and how does it benefit common people?,What is GST and how should Ies it benefit common people?,1
187005,279454,147875,How can I get venture capital for my startup?,How do you sleep well?,0
187006,144281,260729,What is GST and how does it benefit common people?,What is GST and how does it benefit common people?,1
187007,157959,246677,Will there be a war between India and Pakistan?,How do you sleep well?,0
187008,142366,264890,How can I get venture capital for my startup?,How can I get venture capital for my startup?,1
187009,115442,207441,What are some good laptops under 60k?,Will there be a war between India and Pakistan?,0
187010,197745,141955,Is it scientifically possible to bring someone back to life?,Is it scientifically possible to bring someone back to life?,1
187011,115377,108643,How do I remove water from ear?,What should I do to overcome anxiety?,0
187012,189393,239544,What are some good laptops under 60k?,How do you sleep well?,0
187013,137605,262870,What is GST and how does it benefit common people?,What's GST and how does it benefit common people?,1
187014,121679,146940,What are some good laptops under 60k?,What is GST and how does it benefit common people?,0
187015,211785,114600,How do I remove water from ear?,How do I remove water from ear?,1
187016,297141,146347,Which is better: Java or Python?,What are some good laptops under 60k?,0
187017,178623,167135,What are the best books on modern philosophy?,What are the best books on modern philosophy?,1
187018,232041,248737,Is it scientifically possible to bring someone back to life?,What are the differences between Android and iOS?,0
187019,175727,265824,Will there be a war between India and Pakistan?,What is GST and how does it benefit common people?,0
187020,199287,256795,What is GST and how does it benefit common people?,What's GST and how does it benefit common people?,1
187021,293609,258537,What is the most beautiful moment in your life?,How can I motivate myself to achieve more?,0
187022,255084,255666,What are the differences between Android and iOS?,How can I get venture capital for my startup?,0
187023,281020,131195,What are the differences between Android and iOS?,What are some good laptops under 60k?,0
187024,107788,193487,What is the most beautiful moment in your life?,What is the future of data science?,0
187025,294081,156858,How can I improve my communication skills?,How can I get venture capital for my startup?,0
187026,229872,101147,How can I get venture capital for my startup?,What is the future of data science?,0
187027,196704,124262,Which is better: Java or Python?,Which is better: Java or Python?,1
187028,283991,158811,How do you sleep well?,How do you sleep well?,1
187029,105970,215079,How do you sleep well?,How do I remove water from ear?,0
187030,275309,164366,What are some good laptops under 60k?,What are some some good laptops under 60k?,1
187031,170184,286097,How do I remove water from ear?,What is GST and how does it benefit common people?,0
187032,100360,141979,How can I get venture capital for my startup?,What is the future of data science?,0
187033,257751,269284,How can I get venture capital for my startup?,How do I get venture capital for my startup?,1
187034,272471,131735,Which is better: Java or Python?,Which is better: Java or Python?,1
187035,186866,265269,Which is better: Java or Python?,Which is better: Java or Python?,1
187036,205739,141306,What is the future of data science?,What is the future of data science?,1
187037,151204,256374,What are the differences between Android and iOS?,What are some good laptops under 60k?,0
187038,220111,176412,Will there be a war between India and Pakistan?,Will there be a war between India and Pakistan?,1
187039,246044,177473,How can I motivate myself to achieve more?,What are the best books on modern philosophy?,0
187040,197300,267612,Is it scientifically possible to bring someone back to life?,Is it really scientifically possible to bring someone back to life?,1
187041,149478,129685,How can I improve my communication skills?,How can I improve my communication skills?,1
187042,213917,114182,Will there be a war between India and Pakistan?,What is the future of data science?,0
187043,298284,199329,What is GST and how does it benefit common people?,What is GST and how should Ies it benefit common people?,1
187044,152291,121063,Is it scientifically possible to bring someone back to life?,What is the future of data science?,0
187045,245302,168357,How can I improve my communication skills?,Will there be a war between India and Pakistan?,0
187046,278846,126760,Which is better: Java or Python?,What are the best books on modern philosophy?,0
187047,250337,280983,What are the best books on modern philosophy?,What are the best books on modern philosophy?,1
187048,178876,116132,How can I improve my communication skills?,What is GST and how does it benefit common people?,0
187049,130793,189428,What are the differences between Android and iOS?,Is it scientifically possible to bring someone back to life?,0
187050,146109,142254,What are the differences between Android and iOS?,What are the differences between Android and iOS?,1
187051,163094,276835,What is GST and how does it benefit common people?,Which is better: Java or Python?,0
187052,298113,246843,What are the differences between Android and iOS?,What are some the differences between Android and iOS?,1
187053,221977,191934,What should I do to overcome anxiety?,What should I do to overcome anxiety?,1
187054,231650,125456,How do you sleep well?,What is GST and how does it benefit common people?,0
187055,165519,276869,What should I do to overcome anxiety?,What should I do to overcome anxiety?,1
187056,147489,289440,What is the most beautiful moment in your life?,What is the most beautiful moment in your life?,1
187057,187717,297810,How can I motivate myself to achieve more?,How can I motivate myself to achieve more?,1
187058,158170,227367,What is the most beautiful moment in your life?,What are the differences between Android and iOS?,0
187059,264908,223544,What should I do to overcome anxiety?,Will there be a war between India and Pakistan?,0
187060,152807,108559,What should I do to overcome anxiety?,What should I do to overcome anxiety?,1
187061,289831,262394,What are the differences between Android and iOS?,What are the differences between Android and iOS?,1
187062,297777,156531,How do I remove water from ear?,How can I motivate myself to achieve more?,0
187063,177394,265732,What is GST and how does it benefit common people?,How do I remove water from ear?,0
187064,208914,121122,What are the best books on modern philosophy?,What are some the best books on modern philosophy?,1
187065,261552,148886,What is the future of data science?,What is the future of data science?,1
187066,113384,173599,How can I get venture capital for my startup?,How can I get venture capital for my startup?,1
187067,186151,148207,Which is better: Java or Python?,Is it scientifically possible to bring someone back to life?,0
187068,290806,240320,How can I get venture capital for my startup?,How do I get venture capital for my startup?,1
187069,163075,120637,Will there be a war between India and Pakistan?,What are some good laptops under 60k?,0
187070,199315,134422,Will there be a war between India and Pakistan?,Will there be a war between India and Pakistan?,1
187071,172465,147374,How do I remove water from ear?,How do I remove water from ear?,1
187072,130506,142632,Which is better: Java or Python?,Which is better: Java or Python?,1
187073,265438,150996,Is it scientifically possible to bring someone back to life?,How can I get venture capital for my startup?,0
187074,151919,220074,What should I do to overcome anxiety?,What should I do to overcome anxiety?,1
187075,225314,224169,What should I do to overcome anxiety?,How can I improve my communication skills?,0
187076,233314,114137,How can I motivate myself to achieve more?,How can I motivate myself to achieve more?,1
187077,110885,141058,How can I get venture capital for my startup?,What are the differences between Android and iOS?,0
187078,296565,106378,Will there be a war between India and Pakistan?,Will there be a war between India and Pakistan?,1
187079,186165,224984,Will there be a war between India and Pakistan?,Will there be a war between India and Pakistan?,1
187080,174763,219658,How do I remove water from ear?,How do I remove water from ear?,1
187081,223097,254210,How can I motivate myself to achieve more?,How do I motivate myself to achieve more?,1
187082,175038,143990,What should I do to overcome anxiety?,How do I remove water from ear?,0
187083,137900,269688,How do you sleep well?,How can I get venture capital for my startup?,0
187084,288983,134789,What is the future of data science?,What is the future of data science?,1
187085,226963,163959,Which is better: Java or Python?,Which is better: Java or Python?,1
187086,244323,139004,What should I do to overcome anxiety?,What should I do to overcome anxiety?,1
187087,234071,234733,What is GST and how does it benefit common people?,How can I improve my communication skills?,0
187088,104929,225493,How can I motivate myself to achieve more?,What are the best books on modern philosophy?,0
187089,276538,111846,How can I motivate myself to achieve more?,What are the differences between Android and iOS?,0
187090,287975,117401,How can I motivate myself to achieve more?,What are the best books on modern philosophy?,0
187091,260714,143859,What are the best books on modern philosophy?,What are the best books on modern philosophy?,1
187092,178837,152800,What are the best books on modern philosophy?,What is the most beautiful moment in your life?,0
187093,237549,216846,How can I improve my communication skills?,How do I remove water from ear?,0
187094,218907,263201,Will there be a war between India and Pakistan?,How can I motivate myself to achieve more?,0
187095,292441,165097,What should I do to overcome anxiety?,What are some good laptops under 60k?,0
187096,218405,107972,How can I motivate myself to achieve more?,How can I motivate myself to achieve more?,1
187097,275011,224233,What should I do to overcome anxiety?,What should I should I to overcome anxiety?,1
187098,163630,175419,How do I remove water from ear?,How do I remove water from ear?,1
187099,236786,159342,What is the most beautiful moment in your life?,What is the most beautiful moment in your life?,1
187100,252214,194526,How can I get venture capital for my startup?,What should I do to overcome anxiety?,0
187101,146343,235579,How can I motivate myself to achieve more?,What is the most beautiful moment in your life?,0
187102,220549,281597,How can I improve my communication skills?,Will there be a war between India and Pakistan?,0
187103,120364,108981,What is the future of data science?,How can I get venture capital for my startup?,0
187104,258381,236855,Will there be a war between India and Pakistan?,Will there be a war between India and Pakistan?,1
187105,143763,294220,How can I improve my communication skills?,What is GST and how does it benefit common people?,0
187106,146232,117881,Which is better: Java or Python?,Is it scientifically possible to bring someone back to life?,0
187107,215976,208725,Will there be a war between India and Pakistan?,What is the most beautiful moment in your life?,0
187108,112406,193949,How can I get venture capital for my startup?,How can I get venture capital for my startup?,1
187109,119673,147222,How do I remove water from ear?,How can I improve my communication skills?,0
187110,277904,169042,Which is better: Java or Python?,What are the best books on modern philosophy?,0
187111,116681,151293,Is it scientifically possible to bring someone back to life?,Is it scientifically possible to bring someone back to life?,1
187112,227381,158049,Which is better: Java or Python?,Which is better: Java or Python?,1
187113,283437,267650,What is the future of data science?,What's the future of data science?,1
187114,163734,273814,How can I get venture capital for my startup?,How can I improve my communication skills?,0
187115,159309,220026,How do you sleep well?,How do you sleep well?,1
187116,131270,142034,How do I remove water from ear?,How do I remove water from ear?,1
187117,292070,185641,How can I get venture capital for my startup?,What is GST and how does it benefit common people?,0
187118,176507,239618,What should I do to overcome anxiety?,How can I motivate myself to achieve more?,0
187119,204089,136670,What is GST and how does it benefit common people?,What should I do to overcome anxiety?,0
187120,231883,246089,Is it scientifically possible to bring someone back to life?,What is the most beautiful moment in your life?,0
187121,110596,262651,What is the future of data science?,What are the differences between Android and iOS?,0
187122,150828,111667,What is GST and how does it benefit common people?,How do I remove water from ear?,0
187123,228050,274514,What is GST and how does it benefit common people?,What is GST and how does it benefit common people?,1
187124,216384,265804,Is it scientifically possible to bring someone back to life?,Is it scientifically possible to bring someone back to life?,1
187125,158315,155953,What is the most beautiful moment in your life?,How do I remove water from ear?,0
187126,295082,240550,What is the future of data science?,Will there be a war between India and Pakistan?,0
187127,152703,118987,Which is better: Java or Python?,How do I remove water from ear?,0
187128,141988,183488,How do I remove water from ear?,What are the differences between Android and iOS?,0
187129,234902,177393,Which is better: Java or Python?,What is the most beautiful moment in your life?,0
187130,223421,165042,What is the future of data science?,What are the best books on modern philosophy?,0
187131,255306,121100,How can I improve my communication skills?,Is it scientifically possible to bring someone back to life?,0
187132,274317,148068,How can I motivate myself to achieve more?,How can I motivate myself to achieve more?,1
187133,293107,264809,How can I improve my communication skills?,What are the differences between Android and iOS?,0
187134,250627,243747,How can I get venture capital for my startup?,What are the best books on modern philosophy?,0
187135,121351,223145,How do you sleep well?,How do you sleep well?,1
187136,278605,166247,What should I do to overcome anxiety?,What should I should I to overcome anxiety?,1
187137,249970,186104,How can I get venture capital for my startup?,What are the best books on modern philosophy?,0
187138,137145,188425,Which is better: Java or Python?,What are the differences between Android and iOS?,0
187139,267205,209917,What are some good laptops under 60k?,How do you sleep well?,0
187140,137619,156143,How can I get venture capital for my startup?,How do you sleep well?,0
187141,292340,181942,How do I remove water from ear?,What are the differences between Android and iOS?,0
187142,268461,135799,What are some good laptops under 60k?,What are some some good laptops under 60k?,1
187143,283236,164404,How can I get venture capital for my startup?,How can I get venture capital for my startup?,1
187144,207788,226826,What is GST and how does it benefit common people?,What is the most beautiful moment in your life?,0
187145,245071,198223,How do I remove water from ear?,Is it scientifically possible to bring someone back to life?,0
187146,208818,236974,What is the future of data science?,What's the future of data science?,1
187147,167152,209217,How can I improve my communication skills?,How can I improve my communication skills?,1
187148,143133,202406,What is GST and how does it benefit common people?,What is GST and how does it benefit common people?,1
187149,128148,280733,What is GST and how does it benefit common people?,What is GST and how does it benefit common people?,1
187150,204259,272464,What is GST and how does it benefit common people?,What are some good laptops under 60k?,0
